;Код;Направление подготовки (специальности);Вступительные испытания, мин. кол. баллов;Профильные вступительные испытания для поступающих на базе среднего профессиональ-ного или высшего образования, мин. кол. баллов;Форма обучения;Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Стоимость обучения
21;08.03.01;"Строительство. Профиль ""Промышленное и гражданское строительство"", Профиль ""Строительство автомобильных дорог"", Профиль ""Жилищно-коммунальное хозяйство и инженерное обеспечение промышленных предприятий""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;91;59;9;9;9;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
22;15.03.02;"Технологические машины и оборудование. Профиль ""Инжиниринг и маркетинг технологических машин и оборудования""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;20;9;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
23;15.03.06;"Мехатроника и робототехника. Профиль ""Мехатронные и робототехнические системы в машиностроении""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;10;2;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
24;21.05.04;"Горное дело. Профиль ""Открытые горные работы""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;30;16;3;3;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
25;35.03.01;"Лесное дело. Профиль ""Рациональное многоцелевое использование лесов"", Профиль ""Правовые основы лесоуправления""";Вступительные испытания, мин. кол. баллов: математика : 39 биология (по выбору): 39 химия (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 общая биология (по выбору): 39 общая химия (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;21;10;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
26;35.03.02;"Технология лесозаготовительных и деревоперерабатывающих производств. Профиль ""Экономико-правовое обеспечение деятельности лесопромышленного предприятия"", Профиль ""Технология деревянного домостроения, мебельного производства и деревопереработки""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;22;11;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
27;35.03.06;"Агроинженерия. Профиль ""Эксплуатация и технический сервис транспортно-технологических машин""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;очная;22;9;2;4;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
28;35.03.10;"Ландшафтная архитектура. Профиль ""Ландшафтное проектирование и дизайн""";Вступительные испытания, мин. кол. баллов: математика : 39 биология (по выбору): 39 химия (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 общая биология (по выбору): 39 общая химия (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;20;9;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
29;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (География и Английский язык)""";Вступительные испытания, мин. кол. баллов: география (по выбору): 40 иностранный язык (по выбору): 30 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;20;6;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
30;01.03.01;"Математика. Профиль ""Математика в образовании, фундаментальных и прикладных исследованиях""";Вступительные испытания, мин. кол. баллов: математика : 39 информатика и ИКТ (по выбору): 44 физика (по выбору): 39 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;26;10;2;2;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
