Код;Направление подготовки (специальности);Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Форма обучения;Стоимость обучения
45.03.01;Филология. Профиль "Прикладная филология (Русский язык и литература)";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература, вепсский язык";8;0;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Финский язык и литература, карельский язык (ливвиковское наречие)";11;3;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.01;Филология. Профиль "Шведский язык и литература, английский язык";13;5;1;1;1;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
45.03.02;Лингвистика. Профиль "Русский язык как иностранный, китайский язык";15;0;0;0;0;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.01;Экономика. Профиль "Финансы, кредит и бухгалтерский учет";33;11;2;3;2;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
38.03.02;Менеджмент. Профиль "Финансовый менеджмент";33;13;2;1;2;15;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
40.03.01;Юриспруденция. Профиль "Юриспруденция";32;7;2;2;1;20;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
31.05.01;Лечебное дело. Профиль "Лечебное дело";184;7;14;100;13;50;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
31.05.02;Педиатрия. Профиль "Педиатрия";67;2;6;43;6;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
33.05.01;Фармация. Профиль "Фармация";25;10;2;2;1;10;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
03.03.02;Физика. Профиль "Медицинская физика";30;18;3;1;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Проектирование информационных систем в экономике";33;18;3;4;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
09.03.01;Информатика и вычислительная техника. Профиль "Системы обработки информации и управления";34;19;3;4;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
11.03.04;Электроника и наноэлектроника. Профиль "Структура и свойства материалов электроники и наноэлектроники";35;21;3;3;3;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
12.03.01;Приборостроение. Профиль "Информационно-измерительные приборы;20;8;2;3;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13.03.01;Теплоэнергетика и теплотехника. Профиль "Промышленная теплоэнергетика";22;10;2;3;2;5;очная;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
